model,store_id,sku_id,n,actual_units,mape_coverage,wape,mape,mae,rmse,smape,bias
catboost,STORE0002,SKU0004,14,1160.0,1.0,0.2308926355639034,0.23028180838545872,19.131104089580568,24.165525708239596,0.2340001763118727,-0.10016811399094794
catboost,STORE0002,SKU0005,14,982.0,1.0,0.24090718499742522,0.443911101632732,16.897918261962253,20.54325974692177,0.274859922105567,0.12528904892135787
catboost,STORE0002,SKU0006,14,1359.0,1.0,0.3101408240254441,0.3781187206918682,30.10581284646989,37.363489733809814,0.3096116982240386,0.0485273681086551
catboost,STORE0002,SKU0007,14,321.0,1.0,0.2286230179467115,0.23589659833210513,5.241999197206742,6.279216860929827,0.23951871929645713,-0.10039030434568406
catboost,STORE0002,SKU0008,14,263.0,1.0,0.24376314598413285,0.26400215943031824,4.579264813844781,5.204835185479242,0.2484689543403202,-0.009021691313787434
catboost,STORE0002,SKU0009,14,721.0,1.0,0.27893992923512195,0.3119608811144149,14.365406355608782,16.653924283613012,0.3077733133225155,-0.1952536474432116
catboost,STORE0002,SKU0010,14,377.0,1.0,0.2149065896364132,0.3542463004362724,5.787127449494841,9.780058111556642,0.22172165218179615,0.10146906912105161
catboost,STORE0002,SKU0011,14,251.0,1.0,0.2658306717611361,0.4220487352036265,4.765964186574655,5.603661990922828,0.30803416982107984,0.03890092173167901
catboost,STORE0002,SKU0012,14,745.0,1.0,0.25410370090538614,0.3222449917876466,13.521946941036619,20.33509401317321,0.26466269424880806,-0.0003786032057503891
catboost,STORE0002,SKU0014,14,713.0,1.0,0.20551329229373247,0.20250314517558227,10.466498386102232,13.31227532776701,0.20366464051027386,-0.06925931267403551
catboost,STORE0002,SKU0015,14,102.0,1.0,0.42582065670161,1.1692629762962004,3.1024076416831585,3.9257163485542703,0.4500619648045577,0.29795097887935934
catboost,STORE0002,SKU0016,14,271.0,1.0,0.4499376838023616,2.022502092164611,8.709508022174285,10.877590809309487,0.46004847491104844,0.19487121918112796
catboost,STORE0002,SKU0017,14,1063.0,1.0,0.368030930859597,1.2524590575600327,27.944062821696544,35.77482732026121,0.42769357294865656,-0.009938893386361329
catboost,STORE0002,SKU0018,14,818.0,1.0,0.26619059670718204,1.8704759028147062,15.553136293319637,22.981084560610896,0.2973802106258177,0.1241844084030028
catboost,STORE0002,SKU0019,14,198.0,1.0,0.29737010372464573,0.4458693433813405,4.205662895534275,5.038015874408615,0.3287200969018827,0.15110810170042704
catboost,STORE0002,SKU0020,14,645.0,1.0,0.2186017331778844,0.20423318932420917,10.071294135695387,12.553385091396391,0.2210083350186903,-0.1387963017110001
catboost,STORE0002,SKU0022,14,1028.0,1.0,0.28002869705511074,0.39718021323654434,20.56210718376099,23.556822433297746,0.3102321873744055,-0.01957538079557167
catboost,STORE0002,SKU0023,14,801.0,1.0,0.4330750209167527,0.6456088517027051,24.77807798245135,32.780930342884,0.41516732478927715,0.11988222310646945
catboost,STORE0002,SKU0024,14,589.0,1.0,0.28026677983111165,0.4409761767107442,11.79122380860891,14.942307539986144,0.30306700876583353,0.15035433206569757
catboost,STORE0002,SKU0025,14,396.0,1.0,0.23284619909332097,0.2381029763407508,6.586221060068222,7.63549426596334,0.23804632170196832,-0.09667987139031269
catboost,STORE0002,SKU0026,14,1008.0,1.0,0.39972640887568256,3.978766791660051,28.780301439049143,37.632729991962215,0.41682566792572967,0.27282761192537136
catboost,STORE0002,SKU0027,14,1812.0,1.0,0.15002252525296345,0.17301893901901835,19.417201125597842,23.61129428777124,0.17391638821950006,-0.053441464122743934
catboost,STORE0002,SKU0028,14,1333.0,1.0,0.27154400406878354,0.2777735407240082,25.85486838740632,30.08248367262838,0.26832207949422304,-0.03075441885553206
catboost,STORE0002,SKU0030,14,632.0,1.0,0.21074455263205022,0.22284368355768236,9.513611233103981,11.854440905897578,0.2170845310482383,-0.04227045090207748
catboost,STORE0002,SKU0031,14,646.0,1.0,0.41179985323906976,1.3650470244653616,19.001621799459933,23.603755827757194,0.4703229445097711,0.2588602104121839
catboost,STORE0002,SKU0032,14,777.0,1.0,0.2808624526541923,0.6531522178578235,15.587866122307673,20.750139491484155,0.3269158608429072,0.1551148305603039
catboost,STORE0002,SKU0033,14,1228.0,1.0,0.2285153689204085,0.23785679055655634,20.044062359590118,22.986638041200095,0.23520600855085116,-0.06095418753514781
catboost,STORE0002,SKU0034,14,1962.0,1.0,0.25557426955076507,0.2603369981398102,35.81690834704293,42.52932633568328,0.2615422679485225,-0.07618979129009243
catboost,STORE0002,SKU0036,14,497.0,1.0,0.2409217414824443,0.2866850420981274,8.552721822626774,12.712832361077178,0.21972078914101206,0.1791216871485837
catboost,STORE0002,SKU0037,14,1200.0,1.0,0.2103185847314794,0.2156120848733207,18.027307262698237,22.521550762697103,0.20596078902144757,-0.013568707817993998
catboost,STORE0002,SKU0038,14,1030.0,1.0,0.39304333148997395,0.6714647187735044,28.91675938819094,33.36742139115265,0.4127583968426033,0.11363785803579515
catboost,STORE0002,SKU0039,14,173.0,1.0,0.3257893502739809,1.238600813444306,4.025825542671336,5.207962305343184,0.3897801108741857,0.1261075534375115
